src_ip,conn_count,total_orig_bytes,total_resp_bytes,unique_dst_ports,avg_duration,total_orig_pkts,total_resp_pkts,anomaly_score
host_1,2,8236.0,17704.0,host_11,4.170239499999999,24,32,0.0066028135660929
host_2,1,56780.0,6944.0,host_12,4.07415,96,43,-0.0154065649875501
host_3,1,7345.0,7345.0,host_12,3.999781,5,5,-0.1086851628590629
host_4,1,150.0,0.0,host_12,1.502042,3,0,-0.128258959692124
host_5,1,0.0,0.0,host_12,0.0,1,0,-0.3944791929448195
host_6,1,0.0,0.0,host_12,0.0,1,0,-0.3944791929448195
host_7,1,0.0,0.0,host_12,0.0,1,0,-0.3944791929448195
host_8,1,0.0,0.0,host_12,0.0,1,0,-0.3944791929448195
host_9,1,0.0,0.0,host_12,0.0,1,0,-0.3944791929448195
host_10,1,0.0,0.0,host_12,0.0,1,0,-0.3944791929448195
